mes;equipamento;faixa;data;hora;minutos_intervalo;qtd_0a10km;qtd_11a20km;qtd_21a30km;qtd_31a40km;qtd_41a50km;qtd_51a60km;qtd_61a70km;qtd_71a80km;qtd_81a90km;qtd_91a100km;qtd_acimade100km
6;"FS002REC";1;"2020-06-03";6;"0-15";0;0;4;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";6;"16-30";0;4;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";6;"31-45";0;4;3;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";6;"46-59";0;3;2;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";7;"0-15";1;11;8;2;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";7;"16-30";0;8;9;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";7;"31-45";0;23;6;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";7;"46-59";0;16;13;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";8;"0-15";0;20;11;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";8;"16-30";0;16;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";8;"31-45";2;20;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";8;"46-59";0;13;7;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";9;"0-15";0;14;9;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";9;"16-30";2;18;8;3;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";9;"31-45";0;15;8;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";9;"46-59";1;20;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";10;"0-15";1;16;9;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";10;"16-30";0;10;12;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";10;"31-45";1;10;9;0;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";10;"46-59";0;10;5;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";11;"0-15";0;12;18;0;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";11;"16-30";0;11;9;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";11;"31-45";0;2;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";11;"46-59";0;0;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";12;"0-15";1;0;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";13;"46-59";0;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";17;"16-30";0;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";6;"16-30";0;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";6;"31-45";2;3;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";6;"46-59";1;10;0;0;0;0;0;0;0;0;0
